TIME,H2S-ppb,H2S-ppb-zugam,speed-avg,speed-max,vane-avg
12/03/2025 05:16:08,0.0,5.16,0.08,0.67,231.0
12/03/2025 05:21:14,0.0,0.33,0.0,0.0,0.0
12/03/2025 05:30:54,0.0,26.96,0.1,1.01,256.0
12/03/2025 05:36:09,0.0,6.25,0.44,0.67,141.0
12/03/2025 05:40:56,0.0,5.25,0.06,0.67,142.0
12/03/2025 05:46:08,0.0,4.81,0.41,1.01,252.0
12/03/2025 05:50:57,0.0,2.65,0.0,0.0,0.0
12/03/2025 05:56:08,0.0,5.59,0.0,0.0,0.0
12/03/2025 06:00:54,0.0,6.01,0.0,0.34,230.0
12/03/2025 06:06:08,0.0,3.25,0.0,0.0,0.0
12/03/2025 06:10:56,0.0,2.46,0.0,0.0,0.0
12/03/2025 06:16:08,0.0,5.85,0.0,0.0,0.0
12/03/2025 06:21:16,0.0,6.62,0.0,0.0,0.0
12/03/2025 06:26:07,0.0,4.46,0.0,0.0,0.0
12/03/2025 06:30:55,0.0,5.1,0.0,0.0,0.0
12/03/2025 06:36:08,0.0,7.44,0.0,0.0,0.0
12/03/2025 06:46:08,0.0,4.39,0.52,0.67,221.0
12/03/2025 06:51:03,0.0,3.55,0.34,0.67,143.0
12/03/2025 06:56:07,0.0,4.1,0.0,0.0,0.0
12/03/2025 07:00:54,0.0,3.99,0.04,0.67,150.0
12/03/2025 07:06:08,0.0,5.13,0.12,0.67,211.0
12/03/2025 07:10:56,0.0,5.06,0.01,0.34,211.0
12/03/2025 07:16:08,0.0,6.83,0.0,0.0,0.0
12/03/2025 07:21:14,0.0,8.5,0.0,0.0,0.0
12/03/2025 07:26:09,0.0,104.26,0.0,0.0,0.0
12/03/2025 07:30:54,0.0,13.03,0.0,0.34,212.0
12/03/2025 07:36:08,0.0,10.58,0.24,1.01,215.0
12/03/2025 07:40:56,0.0,11.14,0.09,0.67,230.0
12/03/2025 07:46:08,0.0,12.52,0.28,1.01,210.0
12/03/2025 07:50:54,0.0,11.13,0.31,1.01,197.0
12/03/2025 07:56:08,0.0,10.88,0.12,0.67,222.0
12/03/2025 08:00:57,0.0,12.97,0.16,0.67,208.0
12/03/2025 08:06:09,0.0,14.95,0.0,0.0,0.0
12/03/2025 08:10:54,0.0,13.87,0.0,0.0,0.0
12/03/2025 08:16:08,0.0,13.62,0.06,0.67,217.0
12/03/2025 08:21:16,0.0,14.87,0.24,0.67,273.0
12/03/2025 08:26:08,0.0,14.06,0.01,0.34,259.0
12/03/2025 08:30:56,0.0,14.5,0.0,0.34,257.0
12/03/2025 08:36:08,0.0,19.4,0.01,0.67,255.0
12/03/2025 08:40:54,0.0,12.46,0.04,0.67,236.0
12/03/2025 08:46:08,0.0,11.97,0.04,1.01,235.0
12/03/2025 08:50:56,0.0,12.6,0.14,1.01,67.0
12/03/2025 08:56:08,0.0,15.7,0.14,1.01,75.0
12/03/2025 09:00:53,0.0,14.26,0.08,0.34,100.0
12/03/2025 09:06:07,0.0,12.75,0.39,1.01,130.0
12/03/2025 09:10:53,0.0,18.05,0.56,1.68,189.0
12/03/2025 09:16:07,0.0,20.0,0.22,1.01,205.0
