TIME,CH3SH PPB Médio,CH3SH PPB Máximo,CH3SH PPB Mínimo,CH3SH uG Médio
2026-03-25 11:53:18,3 ppb,5 ppb,1 ppb,522 ppb
2026-03-25 11:54:25,2 ppb,6 ppb,1 ppb,348 ppb
2026-03-25 11:55:31,4 ppb,7 ppb,1 ppb,696 ppb
2026-03-25 11:56:37,3 ppb,5 ppb,1 ppb,522 ppb
2026-03-25 11:57:43,2 ppb,6 ppb,1 ppb,348 ppb
2026-03-25 11:58:49,5 ppb,7 ppb,2 ppb,870 ppb
2026-03-25 11:59:56,2 ppb,5 ppb,1 ppb,348 ppb
2026-03-25 12:02:22,4 ppb,7 ppb,1 ppb,786 ppb
2026-03-25 12:03:33,3 ppb,5 ppb,1 ppb,589 ppb
2026-03-25 12:05:44,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 12:07:45,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 12:14:00,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 12:15:18,3 ppb,6 ppb,1 ppb,6 ppb
2026-03-25 12:16:24,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 12:17:30,4 ppb,7 ppb,2 ppb,8 ppb
2026-03-25 12:18:36,2 ppb,6 ppb,1 ppb,4 ppb
2026-03-25 12:19:43,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 12:20:49,4 ppb,6 ppb,1 ppb,8 ppb
2026-03-25 12:21:55,2 ppb,6 ppb,1 ppb,4 ppb
2026-03-25 12:43:21,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 12:53:32,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 13:03:38,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 13:13:45,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 13:23:51,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 13:33:57,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 13:44:04,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 13:54:10,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 14:04:16,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 14:14:28,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 14:24:34,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 14:34:40,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 14:44:47,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 14:54:58,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 15:05:33,4 ppb,7 ppb,1 ppb,8 ppb
2026-03-25 18:11:02,,,,
2026-03-25 18:41:40,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 18:41:40,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 19:11:46,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 19:11:46,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 19:41:52,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 19:41:52,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 20:11:58,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 20:11:58,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 20:42:04,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 21:12:10,3 ppb,7 ppb,1 ppb,6 ppb
2026-03-25 21:42:17,3 ppb,7 ppb,1 ppb,6 ppb
